text,intent,language
chcę zabezpieczyć laptopa,device_security,pl
jak zabezpieczyć komputer,device_security,pl
potrzebuję ochrony laptopa,device_security,pl
jak ochronić mój komputer,device_security,pl
chcę zabezpieczyć komputer,device_security,pl
jak chronić mój komputer przed wirusami,device_security,pl
moje urządzenie nie jest chronione,device_security,pl
program antywirusowy na laptop,device_security,pl
szukam ochrony dla mojego komputera,device_security,pl
potrzebuję zabezpieczenia laptopa,device_security,pl
jak chronić komputer stacjonarny,device_security,pl
pomóż mi zabezpieczyć komputer,device_security,pl
oprogramowanie do ochrony urządzeń,device_security,pl
antywirus dla laptopa,device_security,pl
zabezpieczenie komputera,device_security,pl
jak uchronić laptopa,device_security,pl
chcę chronić mój komputer,device_security,pl
mój komputer nie ma antywirusa,device_security,pl
potrzebuję antywirusa na laptopa,device_security,pl
ochrona mojego laptopa,device_security,pl
jak zabezpieczyć telefon,device_security,pl
ochrona smartfona,device_security,pl
program antywirusowy na telefon,device_security,pl
mobile security dla telefonu,device_security,pl
aplikacja antywirusowa,device_security,pl
mobile antivirus,device_security,pl
zabezpieczenie telefonu,device_security,pl
aplikacja ochrony na telefon,device_security,pl
chronić telefon przed zagrożeniami,device_security,pl
program ochrony smartfona,device_security,pl
jak zabezpieczyć mój telefon,device_security,pl
ochrona urządzeń mobilnych,device_security,pl
zabezpieczenia na telefon,device_security,pl
zainfekowany telefon,device_security,pl
wirus na smartfonie,device_security,pl
how can I protect my laptop,device_security,en
how can I secure my computer,device_security,en
I need protection for my laptop,device_security,en
how do I protect my computer,device_security,en
I want to secure my computer,device_security,en
antivirus for my laptop,device_security,en
my computer is unprotected,device_security,en
how to protect my PC,device_security,en
device protection software,device_security,en
best antivirus for laptop,device_security,en
help me secure my computer,device_security,en
endpoint security,device_security,en
computer protection,device_security,en
how to protect my device,device_security,en
malware protection for my computer,device_security,en
I need antivirus software,device_security,en
protect my laptop from threats,device_security,en
mobile security app,device_security,en
phone antivirus,device_security,en
protect my smartphone,device_security,en
mobile protection,device_security,en
antivirus for android,device_security,en
antivirus for iphone,device_security,en
secure my phone,device_security,en
mobile threat defense,device_security,en
phone security app,device_security,en
protect android device,device_security,en
secure my smartphone from viruses,device_security,en
mobile device security,device_security,en
jak zabezpieczyć router,network_security,pl
